country_name,country_text_id,year,e_regiongeo,v2x_cspart,v2xcs_ccsi,v2x_partipdem,v2csprtcpt,v2x_polyarchy,v2x_libdem,v2x_api,v2xdd_dd,v2x_freexp_altinf,v2xel_frefair,v2x_egaldem,v2x_regime,v2smgovfilprc,v2smgovsmcenprc,v2smonper,GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),"Population, total","School enrollment, secondary (% gross)",Urban population (% of total population),vap_turnout,election_year,turnout_z,cspart_z,year_label,regime_label
Bangladesh,BGD,2024,14,0.58,0.582,0.09,1.335,0.201,0.068,0.394,0.0,0.308,0.061,0.114,1.0,-0.979,-3.439,-1.26,1941.27874360025,,173562364.0,64.2997191043961,32.6783196323307,41.8,2024,-2.1516758893871906,-0.41987031782219675,2024,Electoral Autocracy
Bhutan,BTN,2024,14,0.657,0.745,0.344,0.817,0.561,0.454,0.784,0.02,0.709,0.857,0.469,2.0,-0.904,-0.911,0.307,,,791524.0,86.1810001963554,42.5645249803412,65.6,2024,-0.49546999781490314,0.048357477983660475,2024,Electoral Democracy
Cambodia,KHM,2023,13,0.315,0.247,0.077,0.691,0.19,0.054,0.375,0.0,0.165,0.106,0.08,1.0,-2.161,-0.68,-1.713,2085.05748462122,60.7171,17423880.0,56.7864734981041,40.6290788072508,84.59,2023,0.826015291300969,-2.0313036410501453,2023,Electoral Autocracy
India,IND,2024,14,0.593,0.35,0.248,0.698,0.398,0.291,0.651,0.0,0.493,0.523,0.215,1.0,-0.993,-0.758,-0.463,2396.94999213544,,1450935791.0,78.1058073224606,35.3788972368389,65.79,2024,-0.4822481860754597,-0.340818871777052,2024,Electoral Autocracy
Indonesia,IDN,2024,13,0.795,0.812,0.318,1.709,0.483,0.326,0.726,0.0,0.721,0.517,0.299,1.0,0.696,0.114,0.488,4367.86266621191,72.7808,283487931.0,98.836444459078,58.7509635387997,81.42,2024,0.6054198007007944,0.8875189821551961,2024,Electoral Autocracy
Japan,JPN,2024,12,0.683,0.955,0.526,0.42,0.82,0.734,0.923,0.02,0.849,0.934,0.751,3.0,1.721,1.663,1.279,37152.5636003552,,123975371.0,,92.1901718034531,53.84,2024,-1.3138305560035624,0.20646037007394993,2024,Liberal Democracy
Laos,LAO,2021,13,0.303,0.155,0.121,-1.111,0.134,0.094,0.268,0.0,0.04,0.214,0.119,0.0,-0.953,-0.819,-3.756,2556.58912640405,62.0,7453194.0,59.8530595325837,37.338778268357,98.02,2021,1.760588615831045,-2.104274206630279,2021,Closed Autocracy
Malaysia,MYS,2022,13,0.775,0.708,0.276,1.265,0.46,0.317,0.708,0.0,0.619,0.474,0.342,1.0,0.686,0.157,0.799,11191.6511756943,97.3986,34695493.0,78.8341986282999,75.9741357073003,73.89,2022,0.08141852492183106,0.7659013728549735,2022,Electoral Autocracy
Maldives,MDV,2024,14,0.628,0.626,0.318,0.744,0.564,0.423,0.783,0.057,0.733,0.626,0.365,2.0,0.216,-0.223,0.236,11798.791369146,,527799.0,,41.9982152717385,73.91,2024,0.08281029457861422,-0.12798805550166237,2024,Electoral Democracy
Mongolia,MNG,2024,12,0.575,0.689,0.249,0.259,0.496,0.389,0.733,0.029,0.693,0.607,0.353,1.0,0.775,0.152,0.272,4626.79609644243,,3524788.0,,70.9566040039062,69.83,2024,-0.2011107154052064,-0.4502747201472524,2024,Electoral Autocracy
