country_name,country_text_id,year,e_regiongeo,v2x_cspart,v2xcs_ccsi,v2x_partipdem,v2csprtcpt,v2x_polyarchy,v2x_libdem,v2x_api,v2xdd_dd,v2x_freexp_altinf,v2xel_frefair,v2x_egaldem,v2x_regime,v2smgovfilprc,v2smgovsmcenprc,v2smonper,GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),"Population, total","School enrollment, secondary (% gross)",Urban population (% of total population),vap_turnout
Bangladesh,BGD,2000,14,0.748,0.769,0.23,2.031,0.511,0.275,0.747,0.153,0.725,0.534,0.216,2.0,0.203,-0.815,0.152,620.560472822105,0.0710394,134544304.0,46.7210006713867,23.3145114975244,
Bangladesh,BGD,2001,14,0.748,0.717,0.226,2.031,0.504,0.268,0.743,0.141,0.733,0.536,0.212,2.0,0.203,-0.815,0.152,641.288922876274,0.129808,136805810.0,48.4609718322754,23.6999214768623,74.97
Bangladesh,BGD,2002,14,0.767,0.736,0.209,2.031,0.463,0.235,0.715,0.129,0.722,0.442,0.196,1.0,0.203,-0.815,0.152,655.672139362272,0.13992,138933658.0,49.6199493408203,24.1132383547332,74.97
Bangladesh,BGD,2003,14,0.767,0.737,0.211,2.031,0.474,0.239,0.723,0.117,0.735,0.442,0.199,1.0,0.203,-0.815,0.152,676.826252046427,0.163878,140970351.0,49.5259017944336,24.5525557512625,74.97
Bangladesh,BGD,2004,14,0.767,0.737,0.209,2.031,0.474,0.233,0.723,0.105,0.735,0.442,0.199,1.0,0.203,-0.815,0.152,702.656357081873,0.199036,142902856.0,46.3084297180176,25.0094809886101,74.97
Bangladesh,BGD,2005,14,0.767,0.737,0.208,2.031,0.474,0.233,0.723,0.093,0.735,0.442,0.199,1.0,0.203,-0.815,0.152,739.203718353409,0.241637,144715786.0,45.1695098876953,25.4769540701509,74.97
Bangladesh,BGD,2006,14,0.753,0.74,0.185,2.031,0.424,0.215,0.673,0.081,0.698,0.362,0.181,1.0,0.02,-0.909,0.152,779.419570444998,1.0,146405973.0,45.7007904052734,25.9479149992596,74.97
Bangladesh,BGD,2007,14,0.7,0.605,0.107,1.671,0.205,0.103,0.41,0.069,0.562,0.0,0.106,0.0,-0.105,-1.016,-0.081,825.508229964537,1.8,147989278.0,46.4658813476562,26.415303779311,74.97
Bangladesh,BGD,2008,14,0.7,0.66,0.107,1.671,0.209,0.105,0.418,0.057,0.587,0.004,0.108,1.0,-0.105,-1.016,-0.081,866.45815762135,2.5,149474264.0,44.5729598999023,26.87206041368,85.26
Bangladesh,BGD,2009,14,0.78,0.797,0.182,1.944,0.418,0.196,0.675,0.045,0.591,0.456,0.179,1.0,0.022,-0.797,0.294,901.729626251937,3.1,150873714.0,48.1255798339844,27.3111249057412,85.26
Bangladesh,BGD,2010,14,0.78,0.779,0.185,1.944,0.427,0.173,0.683,0.033,0.593,0.458,0.184,1.0,-0.834,-2.014,-0.944,943.66422864236,3.7,152201981.0,49.5031106793162,27.7254372588696,85.26
Bangladesh,BGD,2011,14,0.788,0.762,0.179,1.944,0.416,0.169,0.671,0.033,0.561,0.458,0.179,1.0,-0.941,-2.146,-1.152,995.579947155662,4.5,153591076.0,49.7515496494472,28.1100162712427,85.26
Bangladesh,BGD,2012,14,0.737,0.74,0.167,1.584,0.411,0.166,0.666,0.0,0.55,0.447,0.177,1.0,-0.941,-2.146,-1.152,1050.39140404066,5.0,155070101.0,51.6718482971191,28.4787972894576,85.26
Bangladesh,BGD,2013,14,0.727,0.77,0.15,1.584,0.377,0.146,0.633,0.0,0.478,0.45,0.167,1.0,-0.941,-2.146,-1.334,1103.15695907123,6.63,156532141.0,55.6214332189314,28.8407036106763,85.26
Bangladesh,BGD,2014,14,0.706,0.728,0.118,1.584,0.281,0.108,0.533,0.0,0.437,0.131,0.13,1.0,-1.171,-2.479,-1.334,1159.40753475981,11.9,157964929.0,,29.1944442321013,51.37
Bangladesh,BGD,2015,14,0.697,0.709,0.12,1.584,0.271,0.109,0.517,0.0,0.414,0.125,0.123,1.0,-1.171,-2.479,-1.334,1224.38647668165,12.9,159383179.0,59.4217414855957,29.5395099477892,51.37
Bangladesh,BGD,2016,14,0.695,0.684,0.118,1.584,0.269,0.11,0.514,0.0,0.405,0.125,0.123,1.0,-1.171,-2.479,-1.334,1299.83091360792,18.1,160811932.0,64.1664546117285,29.8753915517965,51.37
Bangladesh,BGD,2017,14,0.714,0.615,0.118,1.584,0.264,0.107,0.504,0.0,0.381,0.131,0.105,1.0,-1.171,-2.479,-1.334,1373.75363740186,21.5,162186147.0,62.3408639225315,30.2015798381799,51.37
Bangladesh,BGD,2018,14,0.599,0.619,0.105,1.335,0.254,0.1,0.49,0.0,0.392,0.107,0.101,1.0,-1.171,-2.479,-1.729,1462.25050255713,25.6,163523103.0,65.2714888764112,30.5175656009959,80.0
Bangladesh,BGD,2019,14,0.599,0.564,0.104,1.335,0.251,0.095,0.48,0.0,0.344,0.158,0.103,1.0,-0.872,-2.479,-1.729,1564.20802445636,30.4,164913055.0,65.1185413488915,30.8228396343012,80.0
Bangladesh,BGD,2020,14,0.609,0.612,0.108,1.335,0.258,0.097,0.491,0.0,0.367,0.158,0.103,1.0,-0.941,-2.625,-1.729,1604.6659234742,36.1091,166298024.0,66.4329548486639,31.1168927321524,80.0
Bangladesh,BGD,2021,14,0.573,0.671,0.103,1.335,0.254,0.092,0.486,0.0,0.362,0.158,0.099,1.0,-0.941,-2.625,-1.729,1702.08028414189,38.9174,167658854.0,66.8282318620991,31.3992156886061,80.0
Bangladesh,BGD,2022,14,0.594,0.685,0.106,1.335,0.263,0.095,0.5,0.0,0.379,0.154,0.103,1.0,-0.969,-3.439,-1.729,1804.3493461776,41.6165,169384897.0,67.0384586440383,31.673734726234,80.0
Bangladesh,BGD,2023,14,0.622,0.732,0.107,1.335,0.253,0.096,0.485,0.0,0.34,0.158,0.105,1.0,-0.969,-3.439,-1.478,1885.37733613545,44.5027,171466990.0,65.9856598598849,32.1578465036834,80.0
Bangladesh,BGD,2024,14,0.58,0.582,0.09,1.335,0.201,0.068,0.394,0.0,0.308,0.061,0.114,1.0,-0.979,-3.439,-1.26,1941.27874360025,,173562364.0,64.2997191043961,32.6783196323307,41.8
Bhutan,BTN,2000,14,0.557,0.641,0.127,0.51,0.095,0.156,0.189,0.0,0.441,0.0,0.184,0.0,-1.426,-1.951,-2.365,1259.6237645235,0.400944,596863.0,30.5185794830322,27.5915239884015,
Bhutan,BTN,2001,14,0.557,0.641,0.127,0.51,0.095,0.157,0.189,0.0,0.447,0.0,0.188,0.0,-1.426,-1.951,-2.365,1321.09878230279,0.864629,610794.0,33.8684310913086,28.282501830034,
Bhutan,BTN,2002,14,0.557,0.64,0.127,0.51,0.096,0.163,0.193,0.0,0.455,0.0,0.195,0.0,-1.426,-1.951,-2.365,1427.25693317315,1.6758,624409.0,,28.9630875013322,
Bhutan,BTN,2003,14,0.593,0.635,0.13,0.51,0.1,0.164,0.2,0.0,0.478,0.0,0.196,0.0,-1.426,-1.951,-2.365,1506.4152751782,2.43691,637663.0,,29.6328608739429,
Bhutan,BTN,2004,14,0.593,0.635,0.13,0.51,0.102,0.165,0.203,0.0,0.49,0.0,0.197,0.0,-1.426,-1.951,-2.365,1552.73915195801,3.15698,650544.0,,30.2914018195132,
Bhutan,BTN,2005,14,0.593,0.635,0.131,0.51,0.103,0.164,0.206,0.0,0.503,0.0,0.199,0.0,-1.426,-1.315,-2.365,1632.02169500573,3.84711,661865.0,43.8849105834961,30.9379917831613,
Bhutan,BTN,2006,14,0.593,0.635,0.132,0.51,0.11,0.168,0.221,0.0,0.566,0.0,0.203,0.0,-1.426,-1.315,-2.767,1701.11878173586,4.51832,670799.0,46.4304084777832,31.5664945864425,
Bhutan,BTN,2007,14,0.653,0.635,0.143,0.51,0.137,0.175,0.274,0.0,0.614,0.0,0.211,0.0,-1.426,-1.315,-2.767,1952.25734603779,5.92,678641.0,50.2249412536621,32.1738216649326,54.87
Bhutan,BTN,2008,14,0.747,0.639,0.314,0.639,0.502,0.44,0.724,0.02,0.74,0.658,0.422,3.0,-1.384,-0.861,-1.66,2017.76018913403,6.55,686351.0,53.5040893554688,32.76371954591,79.45
